term,b,SE,z,p,t,df,CI_lower,CI_upper,task,outcome,model_type,model_set,formula,sig
effortHigh,230.3307,40.9062,NA,0,5.6307,37.9761,150.156,310.5054,CDT,Total_AUC_RTpredictor,LMM,D_RT_Pupil,Total_AUC ~ log_rt_scaled * effort + (1 + log_rt_scaled + effort |      sub),TRUE
log_rt_scaled:effortHigh,15.3445,18.9783,NA,0.4189,0.8085,2225.3543,-21.8523,52.5413,CDT,Total_AUC_RTpredictor,LMM,D_RT_Pupil,Total_AUC ~ log_rt_scaled * effort + (1 + log_rt_scaled + effort |      sub),FALSE
(Intercept),2.5149,0.1982,12.6891,0,NA,NA,2.1264,2.9033,ADT,Accuracy,GLMM,A_GF_Behavioral,iscorr ~ difficulty * gf_scaled + (1 | sub),TRUE
difficultyHard,-5.2472,0.1048,-50.0546,0,NA,NA,-5.4527,-5.0418,ADT,Accuracy,GLMM,A_GF_Behavioral,iscorr ~ difficulty * gf_scaled + (1 | sub),TRUE
gf_scaled,-0.0663,0.0549,-1.2067,0.2275,NA,NA,-0.174,0.0414,ADT,Accuracy,GLMM,A_GF_Behavioral,iscorr ~ difficulty * gf_scaled + (1 | sub),FALSE
difficultyHard:gf_scaled,0.0122,0.08,0.15310000000000001,0.8783,NA,NA,-0.1445,0.1689,ADT,Accuracy,GLMM,A_GF_Behavioral,iscorr ~ difficulty * gf_scaled + (1 | sub),FALSE
(Intercept),-1.4492,0.1577,NA,0,-9.1894,38,-1.7584,-1.1401,ADT,RT_log,LMM,A_GF_Behavioral,log_rt ~ difficulty * gf_scaled + (1 + difficulty + gf_scaled |      sub),TRUE
difficultyHard,0.219,0.0519,NA,1e-4,4.2198,38.0013,0.1173,0.3207,ADT,RT_log,LMM,A_GF_Behavioral,log_rt ~ difficulty * gf_scaled + (1 + difficulty + gf_scaled |      sub),TRUE
gf_scaled,0.0202,0.0279,NA,0.4705,0.7256,71.259,-0.0344,0.0749,ADT,RT_log,LMM,A_GF_Behavioral,log_rt ~ difficulty * gf_scaled + (1 + difficulty + gf_scaled |      sub),FALSE
difficultyHard:gf_scaled,-0.0338,0.029,NA,0.2441,-1.1649,7681.0089,-0.0905,0.023,ADT,RT_log,LMM,A_GF_Behavioral,log_rt ~ difficulty * gf_scaled + (1 + difficulty + gf_scaled |      sub),FALSE
(Intercept),-406.7543,56.0572,NA,0,-7.2561,38.9983,-516.6243,-296.8842,ADT,Total_AUC,LMM,B_GF_Pupil,Total_AUC ~ difficulty * gf_scaled + (1 | sub),TRUE
difficultyHard,-22.652,12.7224,NA,0.075,-1.7805,7757.0003,-47.5875,2.2835,ADT,Total_AUC,LMM,B_GF_Pupil,Total_AUC ~ difficulty * gf_scaled + (1 | sub),FALSE
