sub,mean_pupil_physical_effect,mean_behavioral_physical_effect
13,6.023614828090253,41.578308069065066
16,-24.3271602222065,459.77351218186647
17,-16.009690442675975,8.390874437054663
18,-6.221639326360801,-473.37154584863106
19,-82.337446934432,55.41007678604308
21,-39.40346108914001,239.09385407633556
23,-41.924730417978495,-79.1298078395152
24,-16.79223766401335,38.12681879709375
25,-24.6593386242035,272.84994066379625
26,-45.035004183059,-262.76582607070543
27,-47.30687477350199,30.825411594483683
29,8.12731947177501,32.95320303385395
31,-13.870428611900557,-67.27059701565017
33,-16.79239179327275,-20.663670472893074
34,-20.907282674941982,-656.569871510394
35,-15.167158637068098,-171.5024621884752
36,-62.10255897690601,99.99237913434365
37,-13.990556385687,-339.8061451560458
42,-6.119801403122249,408.5471432573589
43,24.6892662673705,279.8303373754375
44,-20.598244422304347,-13.545919126492834
46,-79.15395601388649,517.0818482704788
48,-49.0495307986405,-350.22323159377635
54,12.637477133198807,10.791125253122487
56,-28.094555291019546,-62.782853752137555
58,15.128137402313996,-97.14808578856338
61,13.159056573366506,-82.4285587215735
64,-44.2880940708565,-105.34238348388155
65,15.657811905931503,-39.86593652467782
68,-3.305104750401,173.0148864724041
69,-8.145564761146005,24.65557164259917
71,-22.529829767345007,-17.11690048899345
72,-29.593503052784996,-82.23203766177991
74,-85.4074180986425,-330.10860645298254
82,-47.092316312649515,452.25485241956443
83,-93.106911441068,59.69495714216191
85,-19.760492472382992,-140.20470927533128
87,-75.189951343301,-875.1467162731919
88,-183.18112476693148,505.95635117725567
