sub,mean_pupil_cognitive_effect,mean_behavioral_cognitive_effect
13,17.28574349259805,475.93143086624536
16,10.451119412275517,493.28655885419215
17,6.025291584984984,126.65833031043445
18,10.355397298438547,70.6693952815815
19,-73.9778202714715,374.5685809815959
21,-8.348622840811501,106.06712454942459
23,-18.50168851574452,222.7530763957463
24,-24.53771456580101,75.0903127497296
25,63.27190124718249,-2.8401503311447414
26,-24.448157193689497,138.65603680862478
27,-5.6416238664814955,-69.0898952272521
29,36.40606718762899,54.724169391467996
31,46.26604522465399,135.50697946177775
33,22.1876927659315,85.33403481388078
34,20.63879275550198,201.39235850702232
35,92.9070549076035,780.7247798393155
36,48.51787643282549,274.41558376592604
37,34.45966712043251,101.59886818002641
42,-2.200008836303496,254.87325374352767
43,1.3091590354624998,369.8404928047671
44,41.85509010133799,169.08874507110647
46,72.8258834645595,167.10545645545102
48,25.211098289097023,71.85947361310053
54,-11.21974415664809,37.52779145027708
56,22.217765706186512,83.10198423878057
58,23.540181597894048,226.79495065080033
61,3.5275842920745006,116.34779057390578
64,-75.30217517994254,370.39699933546945
65,8.390858322480014,63.85280827288669
68,0.3753946268009969,449.0137764363405
69,46.749962619277994,52.111116113914136
72,-7.823347701639008,192.783608145276
74,-66.33142416259452,95.99323595865997
82,30.673740573283496,226.5953297377564
85,31.78015434939499,73.78832460539533
87,-37.007020811098016,129.16442790306826
88,-77.906381935134,227.89372050130942
