sub,mean_pupil_cognitive_effect,mean_behavioral_cognitive_effect
13,1.8252718018155,-0.7913962006985263
16,6.381848741034496,-0.4462852990705658
17,6.5962593191249965,-0.3566666666666667
18,4.275896041398848,-0.40333333333333343
19,17.63331174908798,-0.750103995621237
21,-15.070068412802158,-0.7185388127853881
23,-8.7966248483675,-0.30000000000000004
24,-17.28112968422885,-0.2733333333333334
25,-4.757226025053697,0.2566666666666667
26,-20.021946851623014,-0.6490588803088804
27,10.111510222911008,-0.7387387387387387
29,42.90001245530499,-0.5623386651958081
31,-27.189581366154002,-0.6796498210539306
33,27.164072848024503,-0.26700680272108834
34,10.064442354236498,-0.7196396396396396
35,35.8042109294794,-0.8049802829172112
36,16.4561652543209,-0.7433333333333333
37,26.560148240006512,-0.5199999999999999
42,-20.312192663681998,-0.6166666666666666
43,3.717532461628508,-0.7833333333333334
44,34.77211658374649,-0.77
46,31.89737113464102,-0.5667857142857143
48,11.605101046946501,-0.8
54,2.057221054203051,-0.6066666666666667
56,21.968653256799705,-0.35333333333333333
58,16.06961143353901,-0.3766666666666666
61,9.170323257008647,-0.829928564086751
64,-56.433850842563004,-0.7085714285714286
65,6.802876387426501,-0.5033333333333333
68,4.874011800820007,-0.6966666666666668
69,19.545687949118502,-0.4612955927051672
72,-8.9529081705384,-0.19333333333333336
74,-31.225544826206985,-0.595945945945946
82,15.821756131352501,-0.83
85,13.083265065024989,-0.42926940639269395
87,-8.321511803833516,-0.6256719985291415
88,-18.581161624143988,-0.45666666666666667
