sub,mean_pupil_cognitive_effect,mean_behavioral_cognitive_effect
13,-11.253420251581517,356.515693350541
16,-18.210570084687987,693.751415980574
17,-15.322351738023997,744.2332541666019
18,-9.979613769037357,570.6647444387647
23,-18.22623223803052,498.06460381458766
24,-17.09571857200651,382.2305009119385
25,-49.41878720031649,221.05858331072852
26,27.236902414438532,930.6922163451414
27,-15.23620180661402,156.7047347826055
29,94.12297759921,643.8228622414325
31,-19.84968119529148,538.392078354635
33,35.94682411295702,988.6450971359691
34,-37.1692482044385,1048.9710110909127
35,-12.591637112981005,-136.79142404535241
36,-61.55749161184002,-145.10378496456667
37,-39.9708953512515,392.3855484754419
42,11.1659855687275,548.3160707025672
43,-32.20224487626399,642.8440331046688
44,40.521924588564005,136.17087719570685
46,-71.5758111706285,747.691613479813
48,15.548058270056487,676.1231175638632
54,-17.02870603990101,-139.27592120863565
56,11.696806921911502,147.43827734801806
58,-43.59173576584851,346.2829899405787
61,-19.027538197378007,440.41448823633164
64,-40.75092807448749,613.783019479547
65,-31.825417613893023,239.54310204849307
68,22.86531622471101,164.10302352748613
69,18.15787583056303,-88.33096055815224
72,-22.53626197596799,214.78472175757926
74,6.566262111397492,550.2120617375517
82,45.01662225397098,467.90926348622435
85,-106.09072407210249,174.4766170424376
87,60.392149788448506,1062.0902919878815
88,-17.472761973722015,315.99990724512907
