sub,mean_pupil_cognitive_effect,mean_behavioral_cognitive_effect
13,11.528118503346356,356.515693350541
16,-3.0199307848925088,693.751415980574
17,-5.182541322432996,744.2332541666019
18,2.1417686175946997,570.6647444387647
23,14.400959060352491,498.06460381458766
24,9.990801583016456,382.2305009119385
25,-20.571858134886483,221.05858331072852
26,27.888421387180003,930.6922163451414
27,-4.394406025086994,156.7047347826055
29,14.046531248757006,643.8228622414325
31,-9.773982852258449,538.392078354635
33,10.074909010745053,988.6450971359691
34,-29.730124116217993,1048.9710110909127
35,-5.640383471965691,-136.79142404535241
36,-4.532794250662988,-145.10378496456667
37,-9.355673937812014,392.3855484754419
42,15.991102252300447,548.3160707025672
43,-1.7137274953865074,642.8440331046688
44,14.633828810527348,136.17087719570685
46,0.26243153554851517,747.691613479813
48,-1.6645626747304973,676.1231175638632
54,-7.492802771185801,-139.27592120863565
56,5.262808893296153,147.43827734801806
58,-35.257447753164,346.2829899405787
61,0.5573301294605031,440.41448823633164
64,1.4823220522215053,613.783019479547
65,-3.8783088815575084,239.54310204849307
68,-2.1106266792830013,164.10302352748613
69,-13.465146204176989,-88.33096055815224
72,-4.248389319717802,214.78472175757926
74,-22.463139446691486,550.2120617375517
82,19.9346424267615,467.90926348622435
85,-56.97378411777103,174.4766170424376
87,25.481694876829977,1062.0902919878815
88,-0.5304220314304757,315.99990724512907
