sub,mean_pupil_physical_effect,mean_behavioral_physical_effect
13,11.110594613714945,-0.03790782860550301
16,-226.85320832421652,-0.022674187959454625
17,1.6970451725630085,-0.05666666666666664
18,-10.654968584823848,0.03666666666666679
19,-57.760712364390486,0.047038861521620096
21,-162.0063359740135,-0.03187214611872148
23,-35.574145264374494,-0.040000000000000036
24,28.79825691219601,-0.04666666666666669
25,54.1949931448275,-0.036666666666666604
26,-99.07119313139748,0.022369691119691157
27,-65.07397448701153,-0.04792792792792794
29,104.02421401749001,-0.03009376723662438
31,36.239919067605996,-0.03980963840552881
33,-58.99598287150246,0.03367346938775506
34,-74.478577300572,0.0063063063063062835
35,-111.9507673351085,0.08531822454547545
36,-33.8573801948165,-0.05666666666666667
37,-31.3786446301945,0.09999999999999998
42,28.946991848003492,-0.06333333333333335
43,-36.764006541834505,0.02999999999999997
44,25.110211299582005,0.023333333333333345
46,-135.17656934653448,-0.06178571428571425
48,-10.292177069993002,-0.04000000000000001
54,-40.9601424885127,-0.046666666666666634
56,-16.222556030635488,0.0733333333333333
58,19.755552307031962,-0.1233333333333334
61,17.707022670156498,-0.07047229931133725
64,-44.34294050433152,-0.041904761904761875
65,-45.100722842547995,-0.043333333333333335
68,-99.850749328043,-0.043333333333333404
69,-124.32391864521799,-0.031204407294832773
72,-48.58324463543998,0.09333333333333338
74,-85.10941251604848,0.05594594594594593
82,-59.563118763737506,0.03000000000000002
85,-229.76654911079896,-0.0559360730593608
87,22.08066643898701,-0.06676043390329109
88,-90.22336381264,0.08333333333333329
