sub,effort,pupil_cognitive_effect,behavioral_cognitive_effect
13,High,18.3338969065002,405.2430520834017
13,Low,-14.6833533028692,546.619809649089
16,High,21.785060808225992,537.1265034310567
16,Low,-9.021363326157001,449.4466142773276
17,High,-8.406372668865004,98.97267896661708
17,Low,21.598891307114997,154.34398165425182
18,High,-2.1582440821803033,224.05201521749052
18,Low,10.710036164978,-82.71322465432752
19,High,5.298513928793994,484.60649787231415
19,Low,29.968109569381966,264.53066409087774
21,High,-4.774552506450306,156.9784577716921
21,Low,-25.36558431915401,55.15579132715709
23,High,-33.937760165523,194.60153453065215
23,Low,16.344510468788002,250.90461826084044
24,High,-28.041499185158997,-35.97640067535241
24,Low,-6.520760183298705,186.15702617481162
25,High,-1.225971234740996,-44.56461177152744
25,Low,-8.288480815366398,38.884311109237956
26,High,-1.1753888780930026,81.64790185023935
26,Low,-38.868504825153025,195.6641717670102
27,High,19.62330719391602,-163.57269166813546
27,Low,0.599713251905996,25.392901213631262
29,High,62.168167295861,59.37053137775456
29,Low,23.63185761474898,50.07780740518143
31,High,-36.30620937198,80.31752835742338
31,Low,-18.072953360328,190.6964305661321
33,High,32.649527413680005,74.34186640228478
33,Low,21.678618282369,96.32620322547677
34,High,17.28510609353701,278.0344737656909
34,Low,2.843778614935985,124.75024324835374
35,High,26.61070305645859,605.2024596854895
35,Low,44.997718802500216,956.2470999931415
36,High,20.374677060459206,445.85622619603055
36,Low,12.537653448182596,102.97494133582154
37,High,46.126302699720014,181.5040856952582
37,Low,6.99399378029301,21.693650664794646
42,High,-26.600481955754603,326.9507442750702
42,Low,-14.023903371609393,182.79576321198516
43,High,-9.148994528684995,553.2373537533294
43,Low,16.58405945194201,186.44363185620472
44,High,18.381274944112988,-67.91415164379328
44,Low,51.16295822337999,406.0916417860062
46,High,15.103785643212007,216.4475590972587
46,Low,48.69095662607003,117.76335381364333
48,High,13.740444595663007,23.635320852109658
48,Low,9.469757498229995,120.08362637409141
54,High,-2.4670724697081,24.84435782821822
54,Low,6.581514578114202,50.211225072335935
56,High,19.42483677644961,118.89724665563313
56,Low,24.5124697371498,47.30672182192802
58,High,-6.545750784915981,191.7992008655135
58,Low,38.684973651994,261.79070043608715
61,High,15.126167111076995,-49.56505149896529
61,Low,3.2144794029402988,282.26063264677686
64,High,-37.291882082315,80.11574571706603
64,Low,-75.57581960281101,660.6782529538729
65,High,13.545292323856003,32.38459010566161
65,Low,0.060460450996998816,95.32102644011178
68,High,-9.025308350749,277.0370412169899
68,Low,18.773331952389015,620.9905116556911
69,High,24.92948523371399,-66.16042887067647
69,Low,14.161890664523014,170.38266109850474
72,High,0.4509089811568998,162.89310813999822
72,Low,-18.3567253222337,222.67410815055376
74,High,-58.528348579286984,138.72288605992935
74,Low,-3.9227410731269856,53.26358585739058
82,High,-8.484479785783009,325.69843613115756
82,Low,40.12799204848801,127.49222334435524
85,High,-11.91279324736098,70.33509538886062
85,Low,38.07932337741096,77.24155382193004
87,High,10.097051988249973,97.94471255135215
87,Low,-26.740075595917006,160.38414325478433
88,High,-24.16034054242698,288.24995406793664
88,Low,-13.001982705860996,167.5374869346822
