sub,mean_pupil_cognitive_effect,mean_behavioral_cognitive_effect
13,1.8252718018155,475.93143086624536
16,6.381848741034496,493.28655885419215
17,6.5962593191249965,126.65833031043445
18,4.275896041398848,70.6693952815815
19,17.63331174908798,374.5685809815959
21,-15.070068412802158,106.06712454942459
23,-8.7966248483675,222.7530763957463
24,-17.28112968422885,75.0903127497296
25,-4.757226025053697,-2.8401503311447414
26,-20.021946851623014,138.65603680862478
27,10.111510222911008,-69.0898952272521
29,42.90001245530499,54.724169391467996
31,-27.189581366154002,135.50697946177775
33,27.164072848024503,85.33403481388078
34,10.064442354236498,201.39235850702232
35,35.8042109294794,780.7247798393155
36,16.4561652543209,274.41558376592604
37,26.560148240006512,101.59886818002641
42,-20.312192663681998,254.87325374352767
43,3.717532461628508,369.8404928047671
44,34.77211658374649,169.08874507110647
46,31.89737113464102,167.10545645545102
48,11.605101046946501,71.85947361310053
54,2.057221054203051,37.52779145027708
56,21.968653256799705,83.10198423878057
58,16.06961143353901,226.79495065080033
61,9.170323257008647,116.34779057390578
64,-56.433850842563004,370.39699933546945
65,6.802876387426501,63.85280827288669
68,4.874011800820007,449.0137764363405
69,19.545687949118502,52.111116113914136
72,-8.9529081705384,192.783608145276
74,-31.225544826206985,95.99323595865997
82,15.821756131352501,226.5953297377564
85,13.083265065024989,73.78832460539533
87,-8.321511803833516,129.16442790306826
88,-18.581161624143988,227.89372050130942
