sub,mean_pupil_physical_effect,mean_behavioral_physical_effect
13,5.780781244009503,-0.05039965986394561
16,-147.364051903172,-0.03105717962860824
17,-21.93365582367352,0.003333333333333367
18,-11.077932128754554,-0.003585217870932189
19,-237.92149687029303,0.027117117117117118
21,-60.99575217360051,0.0010958904109589773
23,-18.13556910259851,-0.06
24,-49.266559250103505,-0.03734693877551021
25,73.01125786224252,0.0024569427275119016
26,-76.93061950396554,-0.023888888888888946
27,-98.76715099603501,0.029387755102040784
29,38.86259305489,-0.06333333333333334
31,-64.45397899215149,0.023070097604259127
33,-58.829984370629006,-0.026666666666666693
34,-82.99110694534252,0.005068493150685012
35,-40.764021924861,0.02333333333333333
36,-98.6219071913525,0.03666666666666667
37,-102.25679215723449,-0.06325450450450451
42,-17.994509316846496,-0.03999999999999998
43,-16.85503852793198,-0.020023901452472903
44,-66.19343535736,-0.03032150475888236
46,-122.12190718775051,-0.018749999999999996
48,-91.94256006934549,0.02482638888888887
54,0.5637557346960023,-0.010000000000000024
56,-29.55233229351049,-0.023333333333333317
58,-66.62896415323951,-0.02743639921722113
61,9.408422136353991,-0.02333333333333336
64,-92.2950836106645,-0.022792792792792824
65,49.808088238398994,0.0556462585034013
68,-46.596202111105,0.029999999999999995
69,-0.6951238308380141,0.02452440033085196
71,-58.55429368604999,-0.013333333333333253
72,-47.18242106333901,-0.017117117117117137
74,-43.276619984458506,0.036779279279279306
82,-55.39965849359601,0.016486486486486502
83,-28.019624357240986,-0.020000000000000018
85,-195.89310406927245,0.007308630228156657
87,-55.382085147039476,0.0037414965986394665
88,-201.939683862329,-0.03666666666666667
