sub,mean_pupil_physical_effect,mean_behavioral_physical_effect
13,6.814110433779295,5.933828782982246
16,-77.1494035767765,46.65300973283257
17,-18.352420318260997,-14.917732316126148
18,0.22499940042584754,21.907416710060716
19,-43.611411217336,29.812603109263563
21,-93.55701777231864,159.82388885677966
23,-47.6572392903325,3.7989294513020013
24,29.43750481651285,-73.99848578277937
25,1.8458280132346943,116.94334967457917
26,-23.182872973719995,-79.42135837750516
27,-64.26043229107499,-33.007170226897756
29,12.813998277635989,173.4165185103362
31,28.722308285962995,-70.49999488351045
33,-29.88942827725451,38.729914445097876
34,-10.402236912120493,53.78219382933321
35,-28.840722527442203,-247.86900983221727
36,8.625282786670603,161.942017566397
37,41.08575281649151,68.29094767200485
42,8.296809851761196,112.6876297696991
43,-17.326122424791492,192.47781406803387
44,-3.957444476251503,-124.47932661981929
46,-119.82487933511601,111.6551529304432
48,-9.364881367748495,-34.53374720742835
54,-14.831492858251845,-46.14213147900264
56,4.000012510049096,4.955685694101874
58,7.251410691894009,-48.046174656090614
61,22.068384745413255,-86.93879792746439
64,-44.83375799615999,-303.9643206598546
65,10.484330530609505,-20.43604142649324
68,-48.611194116908,-341.53942310213375
69,-69.5985990846865,-32.620563839099646
72,-6.161292630400503,36.892974733551455
74,-84.38105501046202,-132.26711368900044
82,-53.38645572350249,51.056291106700314
85,-69.23498420996401,245.98657972007405
87,13.877555228151493,-51.11752371207807
88,-103.59768813526199,94.42135618732505
