sub,mean_pupil_physical_effect,mean_behavioral_physical_effect
13,6.023614828090253,-0.05039965986394561
16,-24.3271602222065,-0.03105717962860824
17,-14.860536621159483,0.003333333333333367
18,-6.221639326360801,-0.003585217870932189
19,-85.408237958827,0.027117117117117118
21,-47.0364136444875,0.0010958904109589773
23,-41.924730417978495,-0.06
24,-16.79223766401335,-0.03734693877551021
25,-24.6593386242035,0.0024569427275119016
26,-45.035004183059,-0.023888888888888946
27,-47.30687477350199,0.029387755102040784
29,8.12731947177501,-0.06333333333333334
31,-13.870428611900557,0.023070097604259127
33,-16.79239179327275,-0.026666666666666693
34,-20.907282674941982,0.005068493150685012
35,-15.167158637068098,0.02333333333333333
36,-31.458006503598,0.03666666666666667
37,-13.990556385687,-0.06325450450450451
42,-6.119801403122249,-0.03999999999999998
43,24.6892662673705,-0.020023901452472903
44,-20.598244422304347,-0.03032150475888236
46,-79.15395601388649,-0.018749999999999996
48,-49.0495307986405,0.02482638888888887
54,12.637477133198807,-0.010000000000000024
56,-28.094555291019546,-0.023333333333333317
58,15.128137402313996,-0.02743639921722113
61,13.159056573366506,-0.02333333333333336
64,-44.2880940708565,-0.022792792792792824
65,15.657811905931503,0.0556462585034013
68,-3.305104750401,0.029999999999999995
69,-8.145564761146005,0.02452440033085196
71,-11.029791104165497,-0.013333333333333253
72,-29.593503052784996,-0.017117117117117137
74,-85.4074180986425,0.036779279279279306
82,-47.092316312649515,0.016486486486486502
83,-62.266996041302,-0.020000000000000018
85,-19.760492472382992,0.007308630228156657
87,-75.189951343301,0.0037414965986394665
88,-183.18112476693148,-0.03666666666666667
