sub,mean_pupil_cognitive_effect,mean_behavioral_cognitive_effect
13,11.528118503346356,-0.8754336734693877
16,-3.0199307848925088,-0.6377238462952749
17,-4.033387500916504,-0.9633333333333334
18,2.1417686175946997,-0.9023607280750138
19,2.395229533690994,-0.9595495495495496
21,7.954727151743491,-0.9189041095890411
23,14.400959060352491,-0.8200000000000001
24,9.990801583016456,-0.6706802721088436
25,-20.571858134886483,-0.9073107761527739
26,27.888421387180003,-0.7277777777777779
27,-4.394406025086994,-0.8418201875344733
29,14.046531248757006,-0.7766666666666666
31,-9.773982852258449,-0.9361135758651287
33,10.074909010745053,-0.8733333333333333
34,-29.730124116217993,-0.6050684931506849
35,-5.640383471965691,-0.7766666666666666
36,-35.177346723971,-0.9366666666666668
37,-9.355673937812014,-0.7075788288288287
42,15.991102252300447,-0.8800000000000001
43,-1.7137274953865074,-0.9329490715205001
44,14.633828810527348,-0.3535197029570805
46,0.26243153554851517,-0.9052364864864866
48,-1.6645626747304973,-0.8470486111111111
54,-7.492802771185801,-0.9366666666666668
56,5.262808893296153,-0.43666666666666665
58,-35.257447753164,-0.8388649706457925
61,0.5573301294605031,-0.79
64,1.4823220522215053,-0.8161261261261261
65,-3.8783088815575084,-0.7756462585034013
68,-2.1106266792830013,-0.8899999999999999
69,-13.465146204176989,-0.8270885028949546
71,-6.100640076505499,-0.76
72,-4.248389319717802,-0.5895495495495495
74,-22.463139446691486,-0.7351126126126126
82,19.9346424267615,-0.8964864864864865
83,-28.340697591610997,-0.8200000000000001
85,-56.97378411777103,-0.9557290041804455
87,25.481694876829977,-0.9495918367346939
88,-0.5304220314304757,-0.9033333333333333
