sub,mean_pupil_physical_effect,mean_behavioral_physical_effect
13,-68.94365001083402,-0.10288334278691619
16,-39.62714488105799,0.012426900584795286
17,-60.279871707219996,-0.039285714285714354
18,-65.2149905854435,-0.1531278440691678
19,-166.988172435263,-0.10288970288970287
21,-175.70467597062353,-0.04840024898848427
23,-116.08506809761752,-0.02791005291005294
24,-37.87128531958547,-0.10185185185185189
25,-98.661965321174,0.1901384621427039
26,-39.48233842763648,-0.0473504273504273
27,-301.41529695903097,0.06059218559218563
29,-39.05449814139257,-0.13747276688453156
31,-81.08527334241245,-0.07167961524232333
33,-97.1612181412685,-0.04174153938304878
34,-201.3884558638735,0.01783928859400552
35,93.73835227140749,0.048589290788779216
36,-303.880570050189,0.018980233602875138
37,-175.63425556910602,-0.03221264367816093
42,-29.329685780226512,0.004629629629629664
43,-121.35423795623893,-0.05485674353598874
44,7.99746223743999,-0.040552584670231706
46,-20.179695229424013,0.009886134747400091
48,-50.514103631881994,-0.10334110334110333
54,-38.70623667558601,0.01626984126984124
56,-62.63740408104749,-0.027777777777777853
58,3.031735894240512,0.079059829059829
61,64.528182817594,0.043143939393939415
64,-117.66056433527098,-0.08660130718954251
65,-114.379189279761,-3.853742754963557e-4
68,-129.80835191308847,-0.06232193732193739
69,-119.54409882968551,0.016464417935006165
71,-59.364678885377515,0.0010482180293500815
72,-47.46473720781749,0.005612957971448479
74,-32.397581682253076,-0.09592542677448346
82,-137.0846709042485,-0.06053459119496854
83,-145.6466821953485,-0.0218952780273535
85,-263.69360778252457,0.0759196131282702
87,96.48325450517098,-0.047774327122153154
88,-601.265384810624,-0.01851851851851854
